"","ï..Id","seed_sown_current_3","sowing_date_current_3","harvest_date_current_3","ParentId1","ParentId2"
"323",3,1200,"8/29/2015 12:00:00 AM","5/29/2016 12:00:00 AM",2,"b8e2f3be540f4313921236e42de5a305"
"324",2,250,"1/10/2016 12:00:00 AM","5/2/2016 12:00:00 AM",0,"baa28f6140af46f495d5a8ced91c537c"
"325",3,480,"5/10/2016 12:00:00 AM","3/23/2017 12:00:00 AM",0,"bac7910e517148718dd19b139b89a9dd"
"326",3,12000,"2/5/2016 12:00:00 AM","10/8/2016 12:00:00 AM",0,"bb166bf46bb04f24a894e5fbd3f19328"
"327",1,4000,"11/6/2015 12:00:00 AM","5/31/2016 12:00:00 AM",1,"bb166bf46bb04f24a894e5fbd3f19328"
"328",1,4000,"12/3/2015 12:00:00 AM","5/5/2016 12:00:00 AM",0,"bbe8104001d84185a4941ef985cd2ff0"
"329",1,5000,"4/27/2016 12:00:00 AM","9/27/2016 12:00:00 AM",1,"bbe8104001d84185a4941ef985cd2ff0"
"330",3,5000,"11/17/2015 12:00:00 AM","8/2/2016 12:00:00 AM",0,"bec72ffa41aa44c7bc5ac7173bad8fe7"
"331",2,250,"1/24/2016 12:00:00 AM","4/25/2016 12:00:00 AM",0,"bf37f5656b9541bcb4e3650bff31e740"
"332",4,4,"2/10/2016 12:00:00 AM","5/25/2016 12:00:00 AM",0,"bf37f5656b9541bcb4e3650bff31e740"
"333",3,3000,"9/12/2015 12:00:00 AM","6/24/2016 12:00:00 AM",1,"bf37f5656b9541bcb4e3650bff31e740"
"334",6,300,"2/21/2012 12:00:00 AM","2/25/2016 12:00:00 AM",1,"bf37f5656b9541bcb4e3650bff31e740"
"335",2,500,"3/5/2016 12:00:00 AM","6/5/2016 12:00:00 AM",0,"bf8d4a570e264acd88380fa14510a20e"
"336",2,70,"3/15/2016 12:00:00 AM","6/19/2016 12:00:00 AM",1,"bf8d4a570e264acd88380fa14510a20e"
"337",3,3600,"6/7/2015 12:00:00 AM","5/3/2016 12:00:00 AM",0,"c079282b66534d30b1b95c795fa43600"
"338",3,3000,"11/4/2015 12:00:00 AM","9/17/2016 12:00:00 AM",1,"c079282b66534d30b1b95c795fa43600"
"339",3,40000,"1/22/2015 12:00:00 AM","10/22/2016 12:00:00 AM",0,"c1acceb3770c495fbe05cc35b97a2007"
"340",3,1200,"4/13/2016 12:00:00 AM","3/15/2017 12:00:00 AM",0,"c2b8862ed4a642818955eb4c73854060"
"341",2,3000,"3/2/2016 12:00:00 AM","6/15/2016 12:00:00 AM",0,"c45adc261db44b45b1d229328bd48989"
"342",3,3500,"3/1/2015 12:00:00 AM","4/1/2016 12:00:00 AM",0,"c45d7682d46c4c08b5f2fb84661e9039"
"343",3,1200,"1/12/2016 12:00:00 AM","10/12/2016 12:00:00 AM",0,"c47a7f85a8744579ba258b4eb17b20de"
"344",3,3200,"3/3/2015 12:00:00 AM","5/3/2017 12:00:00 AM",1,"c5cd0a1108984a6fab920d86d24dd2a0"
"345",2,350,"2/10/2016 12:00:00 AM","5/3/2016 12:00:00 AM",0,"c5cd0a1108984a6fab920d86d24dd2a0"
"346",3,1450,"3/9/2016 12:00:00 AM","12/20/2016 12:00:00 AM",0,"c6685b9091a547a3a3e8aad4c5bfb7b7"
"347",4,112,"3/9/2016 12:00:00 AM","6/23/2017 12:00:00 AM",0,"c6685b9091a547a3a3e8aad4c5bfb7b7"
"348",3,80,"8/12/2015 12:00:00 AM","5/29/2016 12:00:00 AM",0,"c68cf27f695247708f35bf1c2d15572a"
"349",3,1800,"11/13/2015 12:00:00 AM","9/26/2016 12:00:00 AM",0,"c6da2346a9374aa0916c43328822fb78"
"350",3,600,"11/26/2015 12:00:00 AM","8/31/2016 12:00:00 AM",0,"c7ac7401b1234eefafafcd59d83ff2ef"
"351",4,300,"1/13/2016 12:00:00 AM","12/15/2016 12:00:00 AM",0,"c7ac7401b1234eefafafcd59d83ff2ef"
"352",5,150,"1/13/2016 12:00:00 AM","9/1/2016 12:00:00 AM",0,"c7ac7401b1234eefafafcd59d83ff2ef"
"353",3,3000,"6/15/2015 12:00:00 AM","6/7/2016 12:00:00 AM",0,"c878f6ad39354e6cb540acd81df20abd"
"354",3,6400,"8/22/2015 12:00:00 AM","6/26/2016 12:00:00 AM",0,"cbac7b24e51544b9b68f76fb71649d14"
"355",3,1000,"9/11/2015 12:00:00 AM","6/11/2016 12:00:00 AM",0,"cdea36ebeef94b569ef90e6c381d462d"
"356",3,8000,"8/26/2015 12:00:00 AM","8/8/2016 12:00:00 AM",0,"ce0f2bac2ba446a3a9a0ba666244451e"
"357",3,1000,"6/1/2016 12:00:00 AM","5/9/2017 12:00:00 AM",1,"ce0f2bac2ba446a3a9a0ba666244451e"
"358",1,2500,"1/13/2016 12:00:00 AM","5/28/2016 12:00:00 AM",0,"ce4cbe84e06a48af992bb8698643a07d"
"359",4,1.5,"3/8/2016 12:00:00 AM","7/12/2016 12:00:00 AM",0,"ce4cbe84e06a48af992bb8698643a07d"
"360",3,5000,"7/22/2015 12:00:00 AM","5/12/2016 12:00:00 AM",0,"cf164a8f3b0a461ca1a62b4979715765"
"361",3,10000,"9/2/2015 12:00:00 AM","9/7/2016 12:00:00 AM",1,"cf164a8f3b0a461ca1a62b4979715765"
"362",3,5000,"8/2/2015 12:00:00 AM","6/1/2016 12:00:00 AM",0,"cfa546f0bbf541f49b93f667810a9f55"
"363",1,2800,"2/24/2016 12:00:00 AM","7/26/2016 12:00:00 AM",0,"cfd298a4c06d4bc9adcc07898af17dc0"
"364",3,7500,"11/1/2014 12:00:00 AM","10/31/2015 12:00:00 AM",0,"d0121acd3c1e40cc8bf670b62d796b7b"
"365",3,5000,"6/2/2016 12:00:00 AM","11/2/2016 12:00:00 AM",0,"d0e9f77e53e8478db4044ee1d5e97330"
"366",3,720,"4/24/2016 12:00:00 AM","4/5/2017 12:00:00 AM",0,"d49fc759768a4ffd822ddc5d5f70e6ae"
"367",3,2000,"8/11/2015 12:00:00 AM","4/2/2016 12:00:00 AM",0,"d64e7061b41c403c9ca5d0b39b778289"
"368",3,2000,"1/4/2016 12:00:00 AM","12/14/2016 12:00:00 AM",0,"d6610dbb697e4c89901a2be3f21cfc6c"
"369",2,400,"4/1/2016 12:00:00 AM","6/5/2016 12:00:00 AM",0,"d6610dbb697e4c89901a2be3f21cfc6c"
"370",4,0.5,"3/3/2016 12:00:00 AM","6/5/2016 12:00:00 AM",0,"d6610dbb697e4c89901a2be3f21cfc6c"
"371",3,1500,"3/2/2016 12:00:00 AM","1/25/2017 12:00:00 AM",1,"d6610dbb697e4c89901a2be3f21cfc6c"
"372",4,200,"3/1/2016 12:00:00 AM","6/5/2016 12:00:00 AM",1,"d6610dbb697e4c89901a2be3f21cfc6c"
"373",1,1500,"11/10/2015 12:00:00 AM","5/18/2016 12:00:00 AM",0,"d891c88223484984b42ba1c038b197ea"
"374",3,2000,"4/2/2016 12:00:00 AM","11/10/2016 12:00:00 AM",0,"da2332669be04953b92042ac01495893"
"375",3,3000,"3/7/2016 12:00:00 AM","1/5/2017 12:00:00 AM",1,"da2332669be04953b92042ac01495893"
"376",4,1,"3/2/2016 12:00:00 AM","7/2/2016 12:00:00 AM",1,"da2332669be04953b92042ac01495893"
"377",3,1200,"10/2/2015 12:00:00 AM","8/2/2016 12:00:00 AM",0,"da32ffb8636d4a9aacf8cf8a502f1a21"
"378",3,1000,"6/26/2015 12:00:00 AM","6/26/2016 12:00:00 AM",0,"da833d32594047848f74db101f51d623"
"379",2,300,"2/22/2016 12:00:00 AM","4/26/2016 12:00:00 AM",1,"da833d32594047848f74db101f51d623"
"380",3,4000,"2/15/2016 12:00:00 AM","12/31/2016 12:00:00 AM",0,"dde83b92e3214c5c894f318eb246ba5d"
"381",3,2000,"3/16/2016 12:00:00 AM","2/1/2017 12:00:00 AM",0,"df77b7bbb4b44d5cb3bc562610ddfa59"
"382",4,400,"1/7/2016 12:00:00 AM","10/6/2016 12:00:00 AM",0,"df77b7bbb4b44d5cb3bc562610ddfa59"
"383",3,1000,"11/2/2015 12:00:00 AM","9/28/2016 12:00:00 AM",0,"e227ea3e32374b7abed31989057c391d"
"384",3,400,"10/20/2015 12:00:00 AM","7/20/2016 12:00:00 AM",0,"e3fb10068b9846b3b087352c9743a4c7"
"385",3,1800,"4/27/2015 12:00:00 AM","3/27/2016 12:00:00 AM",0,"e40f6c0bb0074b20954707d22fae2a8b"
"386",3,6600,"10/23/2015 12:00:00 AM","9/7/2016 12:00:00 AM",0,"e4af9fa9b030490fa7ab76667ce05a69"
"387",2,200,"2/20/2016 12:00:00 AM","5/28/2016 12:00:00 AM",0,"e4af9fa9b030490fa7ab76667ce05a69"
"388",3,2700,"10/26/2015 12:00:00 AM","10/12/2016 12:00:00 AM",1,"e4af9fa9b030490fa7ab76667ce05a69"
"389",2,2500,"2/10/2016 12:00:00 AM","5/30/2016 12:00:00 AM",0,"e50571affeb04f2b95e610b1d11eb84c"
"390",3,300,"5/20/2015 12:00:00 AM","4/13/2016 12:00:00 AM",0,"e581e62b5f0b4c5e899ee318e9c3dabc"
"391",1,400,"3/16/2016 12:00:00 AM","7/20/2016 12:00:00 AM",0,"e581e62b5f0b4c5e899ee318e9c3dabc"
"392",3,10000,"11/8/2015 12:00:00 AM","10/12/2016 12:00:00 AM",0,"e6457e50d10047e9b3c711de2f3b3db0"
"393",3,3000,"6/3/2015 12:00:00 AM","3/2/2016 12:00:00 AM",1,"e6457e50d10047e9b3c711de2f3b3db0"
"394",4,1.5,"2/14/2016 12:00:00 AM","5/15/2016 12:00:00 AM",1,"e6457e50d10047e9b3c711de2f3b3db0"
"395",3,9600,"12/12/2015 12:00:00 AM","9/12/2016 12:00:00 AM",0,"e7b0732dbe9444899601beb56f4e38e3"
"396",4,400,"1/12/2016 12:00:00 AM","10/12/2016 12:00:00 AM",0,"e7b0732dbe9444899601beb56f4e38e3"
"397",3,5600,"2/12/2016 12:00:00 AM","11/12/2016 12:00:00 AM",1,"e7b0732dbe9444899601beb56f4e38e3"
"398",3,1300,"4/11/2015 12:00:00 AM","8/20/2016 12:00:00 AM",0,"e7f8c3891ce547e984e6f2843aa33e78"
"399",2,750,"3/11/2016 12:00:00 AM","6/13/2016 12:00:00 AM",0,"e802ef764bea4e31850d9d0cd6d53a26"
"400",1,5000,"12/22/2015 12:00:00 AM","5/16/2016 12:00:00 AM",0,"e802ef764bea4e31850d9d0cd6d53a26"
"401",2,400,"2/5/2016 12:00:00 AM","5/31/2016 12:00:00 AM",0,"e818916be6b34713bb93ff71585aebf4"
"402",3,500,"6/15/2015 12:00:00 AM","6/15/2016 12:00:00 AM",0,"e818916be6b34713bb93ff71585aebf4"
"403",4,250,"2/8/2016 12:00:00 AM","10/12/2016 12:00:00 AM",0,"e818916be6b34713bb93ff71585aebf4"
"404",3,4000,"1/29/2016 12:00:00 AM","11/29/2016 12:00:00 AM",0,"e8492211c80e47e2a1051e1d24c9dd34"
"405",3,200,"3/15/2016 12:00:00 AM","11/22/2016 12:00:00 AM",0,"e8b3e17ae2dc43709abb8e17d8e552a3"
"406",1,4000,"2/17/2016 12:00:00 AM","6/5/2016 12:00:00 AM",1,"e8b3e17ae2dc43709abb8e17d8e552a3"
"407",4,1,"2/16/2016 12:00:00 AM","6/30/2016 12:00:00 AM",1,"e8b3e17ae2dc43709abb8e17d8e552a3"
"408",2,100,"2/8/2016 12:00:00 AM","5/16/2016 12:00:00 AM",0,"e90c0adec7c84815a36168560074b1e2"
"409",3,200,"4/14/2016 12:00:00 AM","1/13/2017 12:00:00 AM",0,"e90c0adec7c84815a36168560074b1e2"
"410",4,100,"1/5/2016 12:00:00 AM","11/5/2016 12:00:00 AM",0,"e93eb022c02243958a5f2f9fbd5bdb80"
"411",3,1100,"3/5/2016 12:00:00 AM","12/5/2016 12:00:00 AM",0,"e93eb022c02243958a5f2f9fbd5bdb80"
"412",2,850,"3/3/2016 12:00:00 AM","6/25/2016 12:00:00 AM",0,"ea074edb431846a39b26f985620f0996"
"413",5,0.3,"9/8/2015 12:00:00 AM","4/4/2016 12:00:00 AM",1,"ea074edb431846a39b26f985620f0996"
"414",3,4500,"5/3/2016 12:00:00 AM","6/3/2016 12:00:00 AM",0,"ea3112bf6850408393f14ad383e304fe"
"415",3,2500,"8/20/2015 12:00:00 AM","6/28/2016 12:00:00 AM",0,"ea41ed2465f24bffbf1adf8bf32fa4dc"
"416",5,1,"2/25/2016 12:00:00 AM","4/25/2016 12:00:00 AM",0,"ea41ed2465f24bffbf1adf8bf32fa4dc"
"417",3,1500,"6/11/2015 12:00:00 AM","5/6/2016 12:00:00 AM",0,"eb1aff95d0864243b4113f760811f0a6"
